Username,Created_at,Text,Label,Score
DelPatricia19,2020-11-13 20:55:28,hora decisao vamos unir fazer mudanca recife precisa apoio presidente,neutral,0.0
DelPatricia19,2020-11-13 20:38:56,agradecemos apoio vamos juntos mudar recife,positive,0.884153
DelPatricia19,2020-11-13 20:37:57,vamos juntos fazer recife melhor,positive,0.927721
DelPatricia19,2020-11-13 20:37:38,vamos juntos,positive,0.905184
DelPatricia19,2020-11-13 20:00:20,mudanca chegou chama delegada patricia domingo dia vestir verde votar,neutral,0.0
DelPatricia19,2020-11-13 17:54:39,vamos juntas,positive,0.834304
DelPatricia19,2020-11-13 17:54:15,vamos juntos construir cidade melhor,positive,0.965889
DelPatricia19,2020-11-13 17:12:17,vamos juntos transformar recife,positive,0.804105
DelPatricia19,2020-11-13 17:11:00,agradecemos apoio confianca sao importantes nessa caminhada construi,positive,0.958319
DelPatricia19,2020-11-13 17:10:43,vamos juntos,positive,0.905184
DelPatricia19,2020-11-13 17:10:23,agradecemos apoio confianca sao importantes nessa caminhada construir recife melhor vamos juntos,positive,0.964659
DelPatricia19,2020-11-13 17:09:21,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-13 14:43:23,contamos apoio transformar recife,positive,0.897651
DelPatricia19,2020-11-13 14:42:49,obrigada apoio vamos juntos,positive,0.985121
DelPatricia19,2020-11-13 14:42:14,obrigada apoio conto voce mudar recife,positive,0.935563
DelPatricia19,2020-11-13 14:41:39,vamos juntas transformar recife,positive,0.801763
DelPatricia19,2020-11-13 14:41:23,obrigada vamos juntas,positive,0.955663
DelPatricia19,2020-11-13 14:40:53,agradecemos apoio vamos fazer mudanca recife precisa,positive,0.808889
DelPatricia19,2020-11-13 14:40:27,vamos juntos,positive,0.905184
DelPatricia19,2020-11-13 14:36:08,recado hoje mudar recife chama delegada voce tambem quer libertar ci,neutral,0.0
DelPatricia19,2020-11-13 13:09:30,obrigada apoio vamos juntos,positive,0.985121
DelPatricia19,2020-11-13 13:09:11,agradecemos apoio confianca sao importantes nessa caminhada construir recife melhor vamos juntos,positive,0.964659
DelPatricia19,2020-11-13 13:08:52,agradecemos apoio confianca sao importantes nessa caminhada construir rec,positive,0.904304
DelPatricia19,2020-11-13 13:08:34,agradecemos apoio confianca sao importantes nessa caminhada co,positive,0.934836
DelPatricia19,2020-11-13 13:06:50,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-13 12:36:44,sempre desejo devolver trabalho acolhimento recebi mal poderia imaginar quanto carinho,positive,0.553521
DelPatricia19,2020-11-13 01:12:05,apoio presidente firme nunca seguirei nessa missao varrer corrupcao r,negative,-0.405829
DelPatricia19,2020-11-12 23:17:31,aumenta som vem dancar novo jingle delegada clima mudanca gente anota ai domingo,positive,0.803413
DelPatricia19,2020-11-12 21:23:44,campanha oportunidade conhecer ainda cidade ja amava escolhi viver senti,positive,0.898568
DelPatricia19,2020-11-12 20:08:40,recife precisa vamos juntos,positive,0.773555
DelPatricia19,2020-11-12 19:23:15,agradecemos apoio confianca sao importantes nessa caminhada construir rec,positive,0.904304
DelPatricia19,2020-11-12 19:22:35,agradecemos apoio confianca sao importantes nessa caminhada co,positive,0.934836
DelPatricia19,2020-11-12 18:49:59,compromissos gestao sera nomear secretarios experiencia tecnica nao interesses politi,negative,-0.595488
DelPatricia19,2020-11-12 18:48:59,agradecemos carinho diogo vamos juntos,positive,0.940899
DelPatricia19,2020-11-12 18:47:14,voce pode pegar material comite avenida antonio goes pina tambem estamo,neutral,0.0
DelPatricia19,2020-11-12 18:46:38,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-12 15:42:03,hoje demos abraco coletivo simbolico marco zero simbolo tao importante recife domingo vamos abr,positive,0.739623
DelPatricia19,2020-11-12 14:56:46,obrigada apoio juntos recife melhor,positive,0.978019
DelPatricia19,2020-11-12 14:56:22,agradecemos apoio confianca sao importantes nessa caminhada construir rec,positive,0.904304
DelPatricia19,2020-11-12 14:30:37,gente acredita mudanca seguimos frente medo desafios porque cada passo dessa caminhada,negative,-0.882207
DelPatricia19,2020-11-12 13:26:25,obrigada apoio,positive,0.955457
DelPatricia19,2020-11-12 13:26:12,vamos juntos,positive,0.905184
DelPatricia19,2020-11-12 13:25:48,obrigada apoio vamos orgulhar populacao recife gestao transparente pri,positive,0.971145
DelPatricia19,2020-11-12 13:24:58,agradeco demais apoio juntos recife melhor nordeste melhor,positive,0.99183
DelPatricia19,2020-11-12 13:23:41,obrigada conto apoio fazer mudancas recife precisa,positive,0.922373
DelPatricia19,2020-11-12 13:22:50,obrigada apoio vamos juntos,positive,0.985121
DelPatricia19,2020-11-12 13:22:17,obrigada apoio juntos construir recife melhor livre corrupcao traze,positive,0.984326
DelPatricia19,2020-11-12 10:25:01,davy coisa boa ler aqui fazendo campanha propostas ajudar pesso,positive,0.829871
DelPatricia19,2020-11-12 01:53:58,povo quer nao ha segure mudanca domingo vamos fazer historia dizer sim fim ciclo pt ps,neutral,0.0
DelPatricia19,2020-11-11 22:04:04,ate presidente sabe acabar corrupcao recife chama delegada espalhe video,neutral,0.0
DelPatricia19,2020-11-11 21:07:43,agradecemos apoio confianca sao importantes nessa caminhada construir recife melhor vamos juntos,positive,0.964659
DelPatricia19,2020-11-11 20:56:14,envie post amigo voce tambem ta fechado delegada,neutral,0.0
DelPatricia19,2020-11-11 20:53:27,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 20:53:10,obrigada apoio,positive,0.955457
DelPatricia19,2020-11-11 20:52:52,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 20:32:43,obrigada apoio vamos construir recife melhor todos,positive,0.982893
DelPatricia19,2020-11-11 20:32:32,agradecemos estar conosco mauro vamos juntos,positive,0.824695
DelPatricia19,2020-11-11 20:32:06,juntos melhorar recife,positive,0.664516
DelPatricia19,2020-11-11 18:48:52,vamos juntos rumo,positive,0.752056
DelPatricia19,2020-11-11 18:48:32,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 18:47:14,agradecemos apoio confianca sao importantes nessa caminhada construir recife melhor vamos juntos,positive,0.964659
DelPatricia19,2020-11-11 17:00:30,vamos juntos wallace,positive,0.680328
DelPatricia19,2020-11-11 16:15:11,vamos juntos recife melhor,positive,0.959767
DelPatricia19,2020-11-11 16:14:37,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 16:14:19,agradecemos apoio confianca sao importantes nessa caminhada,positive,0.966669
DelPatricia19,2020-11-11 16:13:36,agradecemos apoio confianca sao importantes nessa caminhada con,positive,0.966905
DelPatricia19,2020-11-11 16:13:17,entao venha visitar puder,neutral,0.0
DelPatricia19,2020-11-11 16:12:07,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 16:11:44,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 16:11:08,vamos unir forcas,neutral,0.0
DelPatricia19,2020-11-11 16:10:39,vamos firmes luta iclea vamos juntas,positive,0.845628
DelPatricia19,2020-11-11 16:10:02,voce pode pegar material comite avenida antonio goes pina tambem c,neutral,0.0
DelPatricia19,2020-11-11 16:09:54,voce pode pegar material comite avenida antonio goes pina tambem,neutral,0.0
DelPatricia19,2020-11-11 16:09:10,agradecemos apoio confianca sao importantes nessa caminhada construir r,positive,0.918262
DelPatricia19,2020-11-11 16:08:58,vamos juntos,positive,0.905184
DelPatricia19,2020-11-11 16:08:36,agradecemos apoio confianca vamos juntos,positive,0.960941
DelPatricia19,2020-11-11 16:06:08,vamos transformar recife,positive,0.588147
DelPatricia19,2020-11-11 16:05:52,agradecemos apoio confianca sao importantes nessa caminhada,positive,0.966669
DelPatricia19,2020-11-11 16:05:17,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 16:04:56,agradecemos estar conosco vamos juntos,positive,0.813756
DelPatricia19,2020-11-11 16:04:39,amem vamos juntos,positive,0.974447
DelPatricia19,2020-11-11 16:04:23,vamos juntos,positive,0.905184
DelPatricia19,2020-11-11 16:03:47,agradecemos estar conosco vamos juntos,positive,0.813756
DelPatricia19,2020-11-11 16:03:09,fofura agradecemos apoio confianca sao importantes nessa caminhada constr,positive,0.980698
DelPatricia19,2020-11-11 16:02:41,obrigada confianca vamos juntos melhorar recife,positive,0.920945
DelPatricia19,2020-11-11 16:02:24,agradecemos apoio confianca sao importantes nessa caminhada construir re,positive,0.932246
DelPatricia19,2020-11-11 16:02:06,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
DelPatricia19,2020-11-11 16:01:57,vamos virar transformar recife,positive,0.51262
DelPatricia19,2020-11-11 16:01:08,agradecemos apoio contamos voce caminharmos juntos rumo,positive,0.962191
