Username,Created_at,Text
JoaoCampos,2020-11-27 22:47:12,vamo fazer recife avancar
JoaoCampos,2020-11-27 22:46:09,tamo junto
JoaoCampos,2020-11-27 22:43:21,rt ta chegando hora recife precisa continuar avancando domingo prefeito domingo vamos juntos
JoaoCampos,2020-11-27 22:33:03,voce digita urnas confirma vamos construir muita solidez responsabilidade futuro cidade
JoaoCampos,2020-11-27 21:18:21,cenario pos pandemia desafiador precisamos propostas reais possam proteger estimular economia l
JoaoCampos,2020-11-27 21:18:20,recife vai largar frente nessa retomada economica plano concreto cidade despo
JoaoCampos,2020-11-27 18:22:52,camara exemplo dei entrada projetos lei beneficio protecao diretos mulheres inclu
JoaoCampos,2020-11-27 18:22:51,obrigado fazer parte desta caminhada propostas r
JoaoCampos,2020-11-27 16:41:17,logo deixar frente secretaria mulher legado politicas importantes p
JoaoCampos,2020-11-27 16:41:15,alegria agora recife mulher sensivel forte feminista eleita vereadora
JoaoCampos,2020-11-27 15:28:08,populacao sabera diferenciar fez campanha propositiva falando verdade respeitando pessoas
JoaoCampos,2020-11-27 15:28:07,contrario combatemos preconceito discriminacao intolerancia queremos campanha onde deba
JoaoCampos,2020-11-27 15:28:07,acusar campanha machista nao so equivoco injustica justica entendeu assim considerando
JoaoCampos,2020-11-27 15:28:06,critica desempenho adversario confronto ideias posturas comparativo traj
JoaoCampos,2020-11-27 10:59:41,grato palavras apoio carinho saiba tambem pode contar sempre comigo desafio
JoaoCampos,2020-11-27 10:59:40,chegar vitoria gente agarra oportunidades dona rosa sabe disso visao trabalho deu vi
JoaoCampos,2020-11-27 10:57:45,rt grande patrimonio cidade sao pessoas gente vai luta merece compromisso
JoaoCampos,2020-11-27 01:09:05,colocando energia juventude servico recife vamos juntos tirar papel sonhos en
JoaoCampos,2020-11-27 01:09:04,nenhuma intriga mentira fake news ira tirar brilho energia boa recebi ruas recife hoje dia
JoaoCampos,2020-11-26 12:35:24,digo sobre ser jovem vejo virtude ve problema saiba resolv
JoaoCampos,2020-11-26 02:08:15,obg amigo firmes bom combate
JoaoCampos,2020-11-25 22:05:33,luta lado mulheres homens coragem garra esperanca verdade sempre vem recife maior re
JoaoCampos,2020-11-25 14:10:02,recado recebido muita gratidao sensacao boa ver mulheres vibrando gente tempo n
JoaoCampos,2020-11-24 22:49:44,plano retomada turismo proximos anos intensidade seis primeiros meses porque
JoaoCampos,2020-11-24 22:39:04,gente vai tambem levar pra periferia empreededorismo oportunidade empreender fazendo desenvolve recif
JoaoCampos,2020-11-24 22:37:48,tecnologia remuneracao vezes maior media outras areas gente vai pagar est
JoaoCampos,2020-11-24 22:22:12,prioridade fundamental gestao geracao emprego renda crise vai continuar
