Username,Created_at,Text,Label,Score
JoaoCampos,2020-11-27 22:47:12,vamo fazer recife avancar,positive,0.479956
JoaoCampos,2020-11-27 22:46:09,tamo junto,positive,0.886086
JoaoCampos,2020-11-27 22:43:21,rt ta chegando hora recife precisa continuar avancando domingo prefeito domingo vamos juntos,positive,0.891505
JoaoCampos,2020-11-27 22:33:03,voce digita urnas confirma vamos construir muita solidez responsabilidade futuro cidade,neutral,0.0
JoaoCampos,2020-11-27 21:18:21,cenario pos pandemia desafiador precisamos propostas reais possam proteger estimular economia l,negative,-0.500568
JoaoCampos,2020-11-27 21:18:20,recife vai largar frente nessa retomada economica plano concreto cidade despo,neutral,0.0
JoaoCampos,2020-11-27 18:22:52,camara exemplo dei entrada projetos lei beneficio protecao diretos mulheres inclu,neutral,0.0
JoaoCampos,2020-11-27 18:22:51,obrigado fazer parte desta caminhada propostas r,positive,0.839666
JoaoCampos,2020-11-27 16:41:17,logo deixar frente secretaria mulher legado politicas importantes p,neutral,0.0
JoaoCampos,2020-11-27 16:41:15,alegria agora recife mulher sensivel forte feminista eleita vereadora,positive,0.812802
JoaoCampos,2020-11-27 15:28:08,populacao sabera diferenciar fez campanha propositiva falando verdade respeitando pessoas,neutral,0.0
JoaoCampos,2020-11-27 15:28:07,contrario combatemos preconceito discriminacao intolerancia queremos campanha onde deba,negative,-0.395292
JoaoCampos,2020-11-27 15:28:07,acusar campanha machista nao so equivoco injustica justica entendeu assim considerando,negative,-0.813007
JoaoCampos,2020-11-27 15:28:06,critica desempenho adversario confronto ideias posturas comparativo traj,neutral,0.0
JoaoCampos,2020-11-27 10:59:41,grato palavras apoio carinho saiba tambem pode contar sempre comigo desafio,positive,0.954882
JoaoCampos,2020-11-27 10:59:40,chegar vitoria gente agarra oportunidades dona rosa sabe disso visao trabalho deu vi,positive,0.549099
JoaoCampos,2020-11-27 10:57:45,rt grande patrimonio cidade sao pessoas gente vai luta merece compromisso,positive,0.942763
JoaoCampos,2020-11-27 01:09:05,colocando energia juventude servico recife vamos juntos tirar papel sonhos en,neutral,0.0
JoaoCampos,2020-11-27 01:09:04,nenhuma intriga mentira fake news ira tirar brilho energia boa recebi ruas recife hoje dia,negative,-0.462869
JoaoCampos,2020-11-26 12:35:24,digo sobre ser jovem vejo virtude ve problema saiba resolv,negative,-0.683349
JoaoCampos,2020-11-26 02:08:15,obg amigo firmes bom combate,positive,0.977848
JoaoCampos,2020-11-25 22:05:33,luta lado mulheres homens coragem garra esperanca verdade sempre vem recife maior re,positive,0.451197
JoaoCampos,2020-11-25 14:10:02,recado recebido muita gratidao sensacao boa ver mulheres vibrando gente tempo n,negative,-0.453791
JoaoCampos,2020-11-24 22:49:44,plano retomada turismo proximos anos intensidade seis primeiros meses porque,neutral,0.0
JoaoCampos,2020-11-24 22:39:04,gente vai tambem levar pra periferia empreededorismo oportunidade empreender fazendo desenvolve recif,positive,0.75057
JoaoCampos,2020-11-24 22:37:48,tecnologia remuneracao vezes maior media outras areas gente vai pagar est,negative,-0.802793
JoaoCampos,2020-11-24 22:22:12,prioridade fundamental gestao geracao emprego renda crise vai continuar,neutral,0.0
JoaoCampos,2020-11-24 21:53:03,vivo agora sabatina assista canal facebook,neutral,0.0
JoaoCampos,2020-11-24 16:48:29,obrigado juliana animado trabalhar recife,positive,0.978214
JoaoCampos,2020-11-24 16:35:44,obrigado lidice tamo junto,positive,0.985397
JoaoCampos,2020-11-24 16:23:33,voce todo direito fazer escolha domingo so nao pode escolher algo pode ser contra voce,neutral,0.0
JoaoCampos,2020-11-24 16:23:33,compromisso verdade vamos sempre deixar claro aqui vamos tambem falar futuro,positive,0.707974
JoaoCampos,2020-11-24 16:18:19,compromisso verdade,positive,0.430106
JoaoCampos,2020-11-24 16:12:21,nao abro mao dizer verdade questionar sim mandato parlamentar segundo mp sendo acusa,negative,-0.650443
JoaoCampos,2020-11-24 16:12:21,voces acompanharam campanha atacados covardemente tempo inteiro ganhamos acoes judiciai,negative,-0.508543
JoaoCampos,2020-11-24 16:09:44,gestao pt joao costa aliado candidata fechou hospital pediatrico cravo gama vamos construi,neutral,0.0
JoaoCampos,2020-11-24 15:40:47,vamos priorizar programas credito popular casa porque gente entende devemos,negative,-0.787535
JoaoCampos,2020-11-24 15:40:46,fiz proposta nenhum outros candidatos candidatas dessas eleicoes coragem fazer vamos,negative,-0.75481
JoaoCampos,2020-11-24 15:38:03,gente vai poder trazer compromisso geracao gestao publica dialogo processos dig,neutral,0.0
JoaoCampos,2020-11-24 15:38:03,vamos fazer politica municipal transformacao digital inovacao aberta grande choque gestao,neutral,0.0
JoaoCampos,2020-11-24 15:38:02,gente vive digital comunicacao sociedade ja rede gente vai trazer pra prefeitura,neutral,0.0
JoaoCampos,2020-11-24 15:10:18,gente vive digital comunicacao sociedade ja rede gente vai trazer pra prefeitura,neutral,0.0
JoaoCampos,2020-11-24 15:06:19,enfrentamento desigualdade social comecou camara deputados onde criei frente parlamentar,neutral,0.0
JoaoCampos,2020-11-24 14:51:07,vamos tornar rede recife referencia nacional cuidado atencao criancas deficiencia,negative,-0.776874
JoaoCampos,2020-11-24 14:51:06,compromisso aumentar numero salas recursos escolas poder fortalecer tecnologias assistidas,neutral,0.0
JoaoCampos,2020-11-24 14:51:05,nao vamos colocar nenhum aluno professor profissional educacao risco acao vai ser,negative,-0.747408
JoaoCampos,2020-11-24 14:35:34,recife grande patrimonio sao pessoas pessoas guerreiras altivas sabem construir futuro,positive,0.839992
JoaoCampos,2020-11-24 14:35:33,proximos anos vou dedicar toda energia disposicao vontade garra mudar vida re,positive,0.501268
JoaoCampos,2020-11-24 14:21:26,comecando agora debate importante assistir veja melhores propostas recife,neutral,0.0
JoaoCampos,2020-11-24 12:21:10,obrigado,positive,0.869022
JoaoCampos,2020-11-24 12:21:09,todas vozes precisam estar engajadas construcao sociedade justa combate injusticas precis,neutral,0.0
JoaoCampos,2020-11-24 12:21:09,privilegio pra mim atuacao lado dessas mulheres guerreiras deputadas federais lutam igualdade d,positive,0.595559
JoaoCampos,2020-11-24 01:28:15,sao profissionais conectam prefeitura populacao lado vice recebemos pa,neutral,0.0
JoaoCampos,2020-11-24 01:28:14,nunca saude direito recifense preza vamos andar pra frente principalmente,positive,0.497414
JoaoCampos,2020-11-23 21:45:28,repito conhece sabe respeito principio vida conheceu nesta eleicao pode confirmar,neutral,0.0
JoaoCampos,2020-11-23 21:45:27,todos outros candidatos juntos inclusive neste segundo turno varios ataques pessoais,neutral,0.0
JoaoCampos,2020-11-23 21:45:27,apesar disso sido alvo sistematico deste tipo violencia longo destas eleicoes justica eleitoral r,neutral,0.0
